StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q101,Gender,Age,Ethnicity1,Ethnicity1_6_TEXT,Education,Familiar_1,Comfortable_1,Text Entry _1,Text Entry _2,Text Entry _3,Text Entry _4,Expression A: choice,Q80,Expression B: choice,Q82,Expression C: choice,Q83,Expression D: choice,Q84,Confidence: DOP,Confidence SOA,Fear DOP ,Fear DOS,Fear_NOP,Fear_NOR,Fear_SOA,Fear_SOR,Q79,Curious DOP,Curious DOT,Curious LAH,Curious LAV,Curious SOA,Curious SOT,Hesitant_DOP,Hesitant_DOR,Hesitant_DOT,Hesitant_NOR,Hesitant_SOA,Hesitant_SOR
6/10/2025 11:46,6/10/2025 11:54,100,498,TRUE,6/10/2025 11:54,R_5LzB78Jo9gT8WtZ,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,31,Indian,,Master's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,Curiosity,,Fear,,Hesitation,,Both appear equally confident,Both appear equally confident,Robot 1,Neither appears fearful,Robot 2,Robot 2,Robot 1,Robot 2,1998,Robot 1,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 2
6/10/2025 20:33,6/10/2025 20:49,100,954,TRUE,6/10/2025 20:49,R_9jkqtG7JABo4Cho,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,18,Chinese,,High school degree or equivalent,Moderately Familiar,Moderately Comfortable,Confident,Curious,Hesitant,Scared,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,2006,Robot 1,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 1
30/9/2025 15:52,30/9/2025 16:13,53,1250,FALSE,7/10/2025 16:13,R_4AG4ipOPNGnULOU,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,57,Indian,,Master's degree or equivalent,Slightly Familiar,Very Comfortable,Observant,Checking,Backing out,Confusion,Curiosity,,Other,Checking whether it is ok or not and taking diversion,Fear,,Hesitation,,,,,,,,,,,,,,,,,,,,,,
30/9/2025 16:21,30/9/2025 16:22,53,50,FALSE,7/10/2025 16:22,R_9dMGBlcOj9TYbOa,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,24,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Slightly Comfortable,A,C,D,B,Curiosity,,Hesitation,,Confidence,,Fear,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 8:32,2/10/2025 8:33,53,31,FALSE,9/10/2025 8:33,R_4Olf2s2oLx9Z4T1,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,72,Indian,,Doctorate or professional degree,Extremely Familiar,Extremely Comfortable,,,,,None,,None,,None,,None,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 10:53,2/10/2025 10:53,21,47,FALSE,9/10/2025 10:53,R_9Ej6q9SXx1PjLqp,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,24,Indian,,Master's degree or equivalent,Extremely Familiar,Extremely Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 19:20,2/10/2025 19:20,6,5,FALSE,9/10/2025 19:20,R_95FEfinkjknSsh3,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 21:33,2/10/2025 21:39,68,411,FALSE,9/10/2025 21:39,R_9qNVKdAlabUyRmx,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,25,Chinese,,Bachelor's degree or equivalent,Not Familiar,Slightly Comfortable,Confident,Hesitant ,Apprehensive,Fearful,Confidence,,Curiosity,,Hesitation,,Fear,,,,Both appear equally fearful,Neither appears fearful,Robot 1,Robot 2,Both appear equally fearful,Robot 1,,,,,,,,,,,,,
2/10/2025 22:57,2/10/2025 22:57,6,10,FALSE,9/10/2025 22:57,R_4lxJ9Z5P5mjMgwk,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 23:28,2/10/2025 23:29,21,64,FALSE,9/10/2025 23:29,R_9HjKY8FhAp2YRrx,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Master's degree or equivalent,Moderately Familiar,Slightly Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2025 0:26,3/10/2025 1:31,21,3891,FALSE,10/10/2025 1:31,R_6V300D6RCJLrf8w,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,27,Chinese,,Master's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2025 14:53,10/10/2025 15:01,100,477,TRUE,10/10/2025 15:01,R_4JEhZXcijRc5Sx4,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Master's degree or equivalent,Very Familiar,Very Comfortable,Normal,Interested,Observant,Scared,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally fearful,Robot 1,1995,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 1,Robot 1
10/10/2025 15:01,10/10/2025 15:05,100,211,TRUE,10/10/2025 15:05,R_9BgkI0ya2CCmkIq,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,27,Indian,,Master's degree or equivalent,Extremely Familiar,Extremely Comfortable,Confident,Scrupulous,Skeptical,Scared,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Both appear equally fearful,Both appear equally fearful,Robot 1,1998,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Both appears equally hesitant,Robot 1,Robot 2,Robot 2,Robot 1,Robot 2
4/10/2025 15:28,4/10/2025 15:30,21,72,FALSE,11/10/2025 15:30,R_4lMsYon35efur1y,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,52,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2025 10:04,6/10/2025 10:11,70,428,FALSE,13/10/2025 10:11,R_9XcfOXrOYMMmtL1,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,25,"Eurasian,Other",Turkish- Probably Eurasian but not sure :d,Bachelor's degree or equivalent,Moderately Familiar,Very Comfortable,Calm,Careful,Tentative,Anxious,Confidence,,Other,Careful,Hesitation,,Fear,,,,,,,,,,1999,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,,,,,,
18/10/2025 3:20,18/10/2025 3:47,100,1637,TRUE,18/10/2025 3:47,R_5eH00ACWA1iNW93,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,35,"Other,Prefer not to say",,Master's degree or equivalent,Very Familiar,Very Comfortable,aligned,reliable,confused,confused,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Neither appears fearful,Robot 2,Robot 2,Neither appears fearful,Robot 2,Robot 1,1989,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Both appears equally hesitant,Robot 2,Robot 1,Robot 2,Robot 1,Robot 1
18/10/2025 3:39,18/10/2025 4:01,100,1278,TRUE,18/10/2025 4:01,R_6yqMmCSY9w0haBM,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,33,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Both appear equally confident,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1991,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
18/10/2025 5:55,18/10/2025 6:01,100,315,TRUE,18/10/2025 6:01,R_7eNSxrUwkKexkSl,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Doctorate or professional degree,Moderately Familiar,Slightly Comfortable,Confidence ,Curiosity,Hesitation,Fear,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Both appear equally confident,Both appear equally fearful,Robot 2,Both appear equally fearful,Robot 1,Robot 2,Both appear equally fearful,1995,Robot 2,Both appear equally curious,Both appear equally curious,Robot 2,Both appear equally curious,Robot 1,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
22/10/2025 2:32,22/10/2025 3:10,100,2253,TRUE,22/10/2025 3:10,R_1onYX3zj14PAJKA,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,25,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Very Comfortable,Focused,Relaxed ,Confused,Struggling ,Confidence,,Fear,,Curiosity,,Hesitation,,Robot 1,Robot 1,Robot 2,Neither appears fearful,Robot 2,Robot 2,Robot 2,Neither appears fearful,2000,Robot 2,Both appear equally curious,Robot 1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
18/10/2025 3:33,18/10/2025 3:33,6,14,FALSE,25/10/2025 3:33,R_5C2QoJjoeUALbMj,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2025 22:52,22/10/2025 23:00,21,498,FALSE,29/10/2025 23:01,R_2Y6lAoftH0tHquJ,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,24,Other,Arab,Master's degree or equivalent,Slightly Familiar,Slightly Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2025 17:05,16/11/2025 17:17,100,714,TRUE,16/11/2025 17:17,R_4rCrrEKkXus9sYx,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,31,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,,,,,Confidence,,Confidence,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,1994,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
16/11/2025 23:47,16/11/2025 23:52,100,328,TRUE,16/11/2025 23:52,R_9VloecKRsfeT8xb,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,37,Eurasian,,Doctorate or professional degree,Moderately Familiar,Moderately Comfortable,Steady,Cautious,Slow,Scared,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Robot 2,1987,Neither appears curious,Robot 2,Robot 1,Robot 1,Neither appears curious,Robot 1,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Both appear equally hesitant
17/11/2025 1:59,17/11/2025 4:46,100,10015,TRUE,17/11/2025 4:46,R_7fCz4YZO71r0QpL,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,28,Indian,,Master's degree or equivalent,Extremely Familiar,Very Comfortable,,,,,Curiosity,,Confidence,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Robot 2,Both appear equally fearful,Robot 1,1997,Robot 1,Robot 2,Robot 2,Robot 1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
17/11/2025 4:43,17/11/2025 4:53,100,584,TRUE,17/11/2025 4:53,R_9zcDGtM7K1GeMvb,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Other,West Asian,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Focused,Curious,Hesitant,Scared,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Robot 2,1999,Both appear equally curious,Robot 2,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2
17/11/2025 14:16,17/11/2025 14:27,100,645,TRUE,17/11/2025 14:27,R_9EGfm4GXDVaDPCn,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,34,Indian,,Doctorate or professional degree,Slightly Familiar,Moderately Comfortable,,,,,Curiosity,,Confidence,,Fear,,Hesitation,,Both appear equally confident,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Both appear equally fearful,Robot 2,Robot 2,1991,Robot 2,Robot 2,Both appear equally curious,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
19/11/2025 6:22,19/11/2025 6:46,100,1454,TRUE,19/11/2025 6:46,R_12FbU2CplvD5dg8,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,27,Other,Latin,Bachelor's degree or equivalent,Very Familiar,Very Comfortable,Careful,Curious,Explorative,Afraid,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 2,Both appear equally fearful,Robot 1,Robot 2,Robot 2,Robot 2,1998,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally curious,Robot 1,Robot 2,Robot 2,Robot 1,Robot 2,Both appear equally hesitant,Robot 1
19/11/2025 8:19,19/11/2025 8:23,100,278,TRUE,19/11/2025 8:23,R_7iq7e1fjx9t8Hz7,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,29,Indian,,Master's degree or equivalent,Extremely Familiar,Moderately Comfortable,,,,,Confidence,,Hesitation,,Fear,,Curiosity,,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,1996,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally hesitant,Robot 2,Robot 2,Both appear equally hesitant
19/11/2025 14:12,19/11/2025 14:22,100,617,TRUE,19/11/2025 14:22,R_2JfkmxXckVaIWfm,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,29,Eurasian,,Doctorate or professional degree,Moderately Familiar,Moderately Comfortable,direct,confirming,hesitant,observant,Confidence,,Curiosity,,Hesitation,,Curiosity,,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally fearful,Robot 1,1996,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Both appear equally curious,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
19/11/2025 14:45,19/11/2025 14:55,100,571,TRUE,19/11/2025 14:55,R_4updVBASzgDqnwl,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,22,Indian,,Bachelor's degree or equivalent,Not Familiar,Slightly Comfortable,Calm,Curious ,Afraid,Hesitant,Confidence,,Curiosity,,Fear,,Hesitation,,Robot 1,Robot 1,Robot 1,Neither appears fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,2003,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1
19/11/2025 19:26,19/11/2025 19:32,100,342,TRUE,19/11/2025 19:32,R_9jZJQuF2utaw1Dk,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Not Comfortable,Confident,Slow,Confident,Scared,Confidence,,Hesitation,,Hesitation,,Fear,,Robot 1,Robot 1,Both appear equally fearful,Neither appears fearful,Robot 1,Robot 2,Robot 2,Robot 2,1995,Robot 2,Both appear equally curious,Robot 1,Robot 2,Robot 2,Robot 2,Robot 1,Robot 2,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
20/11/2025 5:17,20/11/2025 5:31,100,839,TRUE,20/11/2025 5:31,R_8pVUGs2rT8ZylKT,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,34,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,,,,,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1991,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Both appear equally hesitant
21/11/2025 9:39,21/11/2025 9:49,100,628,TRUE,21/11/2025 9:49,R_1UeXl0xXMzfDrRy,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,Calm,Calm,Uncertain,Cautious,Confidence,,Fear,,Hesitation,,Curiosity,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1997,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Both appear equally curious,Both appear equally curious,Neither appears hesitant,Robot 1,Robot 2,Robot 2,Robot 1,Both appear equally hesitant
19/11/2025 15:36,21/11/2025 11:04,100,156507,TRUE,21/11/2025 11:04,R_9r3wYI6diiWErGg,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,28,Indian,,Master's degree or equivalent,Slightly Familiar,Slightly Comfortable,,,,,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Both appear equally fearful,1995,Robot 2,Neither appears curious,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Robot 2
20/11/2025 0:39,22/11/2025 14:10,100,221439,TRUE,22/11/2025 14:10,R_9IL8PoVkLU8CL7g,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Master's degree or equivalent,Very Familiar,Very Comfortable,,,,,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 2,1995,Both appear equally curious,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Both appear equally hesitant
16/11/2025 18:22,16/11/2025 18:23,21,67,FALSE,23/11/2025 18:23,R_95BGG9EeWVADiYs,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,37,Indian,,Master's degree or equivalent,Extremely Familiar,Extremely Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025 10:22,19/11/2025 10:24,21,115,FALSE,26/11/2025 10:24,R_4CN6p5gDjuVmlC9,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,27,Indian,,Bachelor's degree or equivalent,Extremely Familiar,Extremely Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025 11:58,19/11/2025 12:00,21,99,FALSE,26/11/2025 12:00,R_7F3vhmklVklPUls,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Other,Pakistan ,Master's degree or equivalent,Very Familiar,Very Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025 12:15,19/11/2025 12:16,21,55,FALSE,26/11/2025 12:16,R_9YxJlCO9E9W5ZW9,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,31,Indian,,Doctorate or professional degree,Very Familiar,Moderately Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025 18:39,19/11/2025 18:40,21,33,FALSE,26/11/2025 18:40,R_3rPylceE1OwUy0p,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,29,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025 14:59,11/12/2025 15:17,100,1102,TRUE,11/12/2025 15:17,R_9DReFeS2r5TZxi9,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,34,Chinese,,Bachelor's degree or equivalent,Not Familiar,Slightly Comfortable,Normal,Slow respond,Curious,Shocked and scared,Confidence,,Hesitation,,Curiosity,,Fear,,Neither appears confident,Neither appears confident,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 1,Robot 2,Robot 2,1991,Robot 1,Robot 2,Robot 2,Robot 2,Robot 1,Robot 1,Both appears equally hesitant,Both appear equally hesitant,Both appear equally hesitant,Robot 2,Robot 2,Robot 2
11/12/2025 17:03,11/12/2025 17:14,100,625,TRUE,11/12/2025 17:14,R_41z2szcwjnuOhTv,anonymous,EN,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Approachable ,,Careful,Wary,Confidence,,Curiosity,,Hesitation,,Fear,,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1997,Robot 1,Robot 2,Robot 2,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
