StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Q101,Gender,Age,Ethnicity1,Ethnicity1_6_TEXT,Education,Familiar_1,Comfortable_1,Text Entry _1,Text Entry _2,Text Entry _3,Text Entry _4,Expression A: choice,Q80,Expression A: scale ,Expression B: choice,Q82,Expression B: scale,Expression C: choice,Q83,Expression C: scale,Expression D: choice,Q84,Expression D: scale,Confidence: DOP,Confidence SOA,Fear DOP ,Fear DOS,Fear_NOP,Fear_NOR,Fear_SOA,Fear_SOR,Q79,,,Curious DOP,Curious DOT,Curious LAH,Curious LAV,Curious SOA,Curious SOT,Hesitant_DOP,Hesitant_DOR,Hesitant_DOT,Hesitant_NOR,Hesitant_SOA,Hesitant_SOR
3/10/2025 13:58,3/10/2025 14:10,100,715,TRUE,3/10/2025 14:10,R_4XLG0zaQ3qsWtzP,,,,,13.0895,80.2739,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,31,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,Calm,,Hesitation,Fear,Confidence,,4,Curiosity,,4,Hesitation,,5,Fear,,4,Robot 1,Robot 1,Robot 2,Neither appears fearful,Robot 1,Robot 2,Robot 1,Robot 2,1994,32,1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Both appear equally hesitant
3/10/2025 18:08,3/10/2025 18:23,100,882,TRUE,3/10/2025 18:23,R_8zLLGTq1AdbvYRQ,,,,,30.7339,76.7889,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,29,Indian,,Master's degree or equivalent,Not Familiar,Not Comfortable,confident,little clear,confused,confused,Confidence,,5,Hesitation,,3,Hesitation,,3,Fear,,4,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Robot 2,Robot 1,Both appear equally fearful,1995,31,2,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally curious,Both appear equally curious,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
4/10/2025 18:36,4/10/2025 18:47,100,637,TRUE,4/10/2025 18:47,R_4Yy6qY3Q6jSQ1ko,,,,,1.3153,103.9143,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,52,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,4,Confidence,,4,Hesitation,,4,Fear,,3,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 1,1973,53,1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1
5/10/2025 14:29,5/10/2025 15:05,100,2131,TRUE,5/10/2025 15:05,R_9nkNIK6H1P3EqGh,,,,,28.6327,77.2198,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,61,Indian,,Doctorate or professional degree,Slightly Familiar,Slightly Comfortable,,,,,Confidence,,5,Curiosity,,3,Hesitation,,4,Fear,,3,Neither appears confident,Neither appears confident,Robot 1,Both appear equally fearful,Neither appears fearful,Robot 2,Both appear equally fearful,Both appear equally fearful,1965,61,0,Robot 1,Robot 1,Robot 1,Robot 1,Neither appears curious,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
6/10/2025 11:46,6/10/2025 11:54,100,498,TRUE,6/10/2025 11:54,R_5LzB78Jo9gT8WtZ,,,,,37.7562,-122.4866,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,31,Indian,,Master's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,4,Curiosity,,4,Fear,,5,Hesitation,,4,Both appear equally confident,Both appear equally confident,Robot 1,Neither appears fearful,Robot 2,Robot 2,Robot 1,Robot 2,1998,28,-3,Robot 1,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 2
6/10/2025 20:33,6/10/2025 20:49,100,954,TRUE,6/10/2025 20:49,R_9jkqtG7JABo4Cho,,,,,-6.9217,107.6071,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,18,Chinese,,High school degree or equivalent,Moderately Familiar,Moderately Comfortable,Confident,Curious,Hesitant,Scared,Confidence,,3,Curiosity,,4,Hesitation,,4,Fear,,5,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,2006,20,2,Robot 1,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 1
30/9/2025 15:52,30/9/2025 16:13,53,1250,FALSE,7/10/2025 16:13,R_4AG4ipOPNGnULOU,,,,,17.3843,78.4583,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,57,Indian,,Master's degree or equivalent,Slightly Familiar,Very Comfortable,Observant,Checking,Backing out,Confusion,Curiosity,,2,Other,Checking whether it is ok or not and taking diversion,2,Fear,,4,Hesitation,,3,,,,,,,,,,,,,,,,,,,,,,,
30/9/2025 16:21,30/9/2025 16:22,53,50,FALSE,7/10/2025 16:22,R_9dMGBlcOj9TYbOa,,,,,1.3352,103.8529,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,24,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Slightly Comfortable,A,C,D,B,Curiosity,,3,Hesitation,,4,Confidence,,4,Fear,,2,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 8:32,2/10/2025 8:33,53,31,FALSE,9/10/2025 8:33,R_4Olf2s2oLx9Z4T1,,,,,1.3652,103.8367,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,72,Indian,,Doctorate or professional degree,Extremely Familiar,Extremely Comfortable,,,,,None,,,None,,,None,,,None,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 10:53,2/10/2025 10:53,21,47,FALSE,9/10/2025 10:53,R_9Ej6q9SXx1PjLqp,,,,,28.6327,77.2198,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,24,Indian,,Master's degree or equivalent,Extremely Familiar,Extremely Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 19:20,2/10/2025 19:20,6,5,FALSE,9/10/2025 19:20,R_95FEfinkjknSsh3,,,,,5.3323,100.4645,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 21:33,2/10/2025 21:39,68,411,FALSE,9/10/2025 21:39,R_9qNVKdAlabUyRmx,,,,,1.3193,103.8674,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,25,Chinese,,Bachelor's degree or equivalent,Not Familiar,Slightly Comfortable,Confident,Hesitant ,Apprehensive,Fearful,Confidence,,5,Curiosity,,3,Hesitation,,5,Fear,,5,,,Both appear equally fearful,Neither appears fearful,Robot 1,Robot 2,Both appear equally fearful,Robot 1,,,,,,,,,,,,,,,
2/10/2025 22:57,2/10/2025 22:57,6,10,FALSE,9/10/2025 22:57,R_4lxJ9Z5P5mjMgwk,,,,,1.3352,103.8529,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2025 23:28,2/10/2025 23:29,21,64,FALSE,9/10/2025 23:29,R_9HjKY8FhAp2YRrx,,,,,10.1666,76.446,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Master's degree or equivalent,Moderately Familiar,Slightly Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2025 0:26,3/10/2025 1:31,21,3891,FALSE,10/10/2025 1:31,R_6V300D6RCJLrf8w,,,,,37.3512,-121.8846,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,27,Chinese,,Master's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2025 14:53,10/10/2025 15:01,100,477,TRUE,10/10/2025 15:01,R_4JEhZXcijRc5Sx4,,,,,1.2872,103.8507,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Master's degree or equivalent,Very Familiar,Very Comfortable,Normal,Interested,Observant,Scared,Confidence,,4,Curiosity,,3,Hesitation,,4,Fear,,4,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally fearful,Robot 1,1995,31,1,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 1,Robot 1
10/10/2025 15:01,10/10/2025 15:05,100,211,TRUE,10/10/2025 15:05,R_9BgkI0ya2CCmkIq,,,,,1.2872,103.8507,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,27,Indian,,Master's degree or equivalent,Extremely Familiar,Extremely Comfortable,Confident,Scrupulous,Skeptical,Scared,Confidence,,5,Curiosity,,3,Hesitation,,4,Fear,,5,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Both appear equally fearful,Both appear equally fearful,Robot 1,1998,28,1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Both appears equally hesitant,Robot 1,Robot 2,Robot 2,Robot 1,Robot 2
4/10/2025 15:28,4/10/2025 15:30,21,72,FALSE,11/10/2025 15:30,R_4lMsYon35efur1y,,,,,1.3596,103.8637,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,52,Chinese,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2025 10:04,6/10/2025 10:11,70,428,FALSE,13/10/2025 10:11,R_9XcfOXrOYMMmtL1,,,,,1.3563,103.7542,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,25,"Eurasian,Other",Turkish- Probably Eurasian but not sure :d,Bachelor's degree or equivalent,Moderately Familiar,Very Comfortable,Calm,Careful,Tentative,Anxious,Confidence,,3,Other,Careful,5,Hesitation,,3,Fear,,2,,,,,,,,,1999,,,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,,,,,,
18/10/2025 3:20,18/10/2025 3:47,100,1637,TRUE,18/10/2025 3:47,R_5eH00ACWA1iNW93,,,,,53.5417,-113.5005,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,35,"Other,Prefer not to say",,Master's degree or equivalent,Very Familiar,Very Comfortable,aligned,reliable,confused,confused,Confidence,,1,Curiosity,,4,Hesitation,,2,Fear,,3,Robot 1,Robot 1,Neither appears fearful,Robot 2,Robot 2,Neither appears fearful,Robot 2,Robot 1,1989,37,2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Both appears equally hesitant,Robot 2,Robot 1,Robot 2,Robot 1,Robot 1
18/10/2025 3:39,18/10/2025 4:01,100,1278,TRUE,18/10/2025 4:01,R_6yqMmCSY9w0haBM,,,,,43.5873,-79.614,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,33,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Moderately Comfortable,,,,,Confidence,,4,Curiosity,,4,Hesitation,,4,Fear,,3,Robot 1,Both appear equally confident,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1991,35,2,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
18/10/2025 5:55,18/10/2025 6:01,100,315,TRUE,18/10/2025 6:01,R_7eNSxrUwkKexkSl,,,,,53.459,-113.5227,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Doctorate or professional degree,Moderately Familiar,Slightly Comfortable,Confidence ,Curiosity,Hesitation,Fear,Confidence,,4,Curiosity,,3,Hesitation,,3,Fear,,4,Robot 1,Both appear equally confident,Both appear equally fearful,Robot 2,Both appear equally fearful,Robot 1,Robot 2,Both appear equally fearful,1995,31,1,Robot 2,Both appear equally curious,Both appear equally curious,Robot 2,Both appear equally curious,Robot 1,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
22/10/2025 2:32,22/10/2025 3:10,100,2253,TRUE,22/10/2025 3:10,R_1onYX3zj14PAJKA,,,,,53.4179,-113.5785,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,25,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Very Comfortable,Focused,Relaxed ,Confused,Struggling ,Confidence,,4,Fear,,2,Curiosity,,5,Hesitation,,4,Robot 1,Robot 1,Robot 2,Neither appears fearful,Robot 2,Robot 2,Robot 2,Neither appears fearful,2000,26,1,Robot 2,Both appear equally curious,Robot 1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
18/10/2025 3:33,18/10/2025 3:33,6,14,FALSE,25/10/2025 3:33,R_5C2QoJjoeUALbMj,,,,,51.0406,-114.0764,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/10/2025 22:52,22/10/2025 23:00,21,498,FALSE,29/10/2025 23:01,R_2Y6lAoftH0tHquJ,,,,,31.6348,-8.0025,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,24,Other,Arab,Master's degree or equivalent,Slightly Familiar,Slightly Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/11/2025 17:05,16/11/2025 17:17,100,714,TRUE,16/11/2025 17:17,R_4rCrrEKkXus9sYx,,,,,1.3563,103.7542,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,31,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,,,,,Confidence,,3,Confidence,,1,Hesitation,,3,Fear,,3,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 1,1994,32,1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
16/11/2025 23:47,16/11/2025 23:52,100,328,TRUE,16/11/2025 23:52,R_9VloecKRsfeT8xb,,,,,13.0895,80.2739,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,37,Eurasian,,Doctorate or professional degree,Moderately Familiar,Moderately Comfortable,Steady,Cautious,Slow,Scared,Confidence,,5,Curiosity,,3,Hesitation,,4,Fear,,5,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Robot 2,1987,39,2,Neither appears curious,Robot 2,Robot 1,Robot 1,Neither appears curious,Robot 1,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Both appear equally hesitant
17/11/2025 1:59,17/11/2025 4:46,100,10015,TRUE,17/11/2025 4:46,R_7fCz4YZO71r0QpL,,,,,32.8003,-117.2438,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,28,Indian,,Master's degree or equivalent,Extremely Familiar,Very Comfortable,,,,,Curiosity,,3,Confidence,,3,Hesitation,,4,Fear,,4,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 1,Robot 2,Both appear equally fearful,Robot 1,1997,29,1,Robot 1,Robot 2,Robot 2,Robot 1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
17/11/2025 4:43,17/11/2025 4:53,100,584,TRUE,17/11/2025 4:53,R_9zcDGtM7K1GeMvb,,,,,1.3563,103.7542,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Other,West Asian,Bachelor's degree or equivalent,Moderately Familiar,Moderately Comfortable,Focused,Curious,Hesitant,Scared,Confidence,,5,Curiosity,,3,Hesitation,,3,Fear,,2,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Robot 2,1999,27,1,Both appear equally curious,Robot 2,Robot 2,Robot 2,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Robot 2,Robot 2
17/11/2025 14:16,17/11/2025 14:27,100,645,TRUE,17/11/2025 14:27,R_9EGfm4GXDVaDPCn,,,,,23.0276,72.5871,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,34,Indian,,Doctorate or professional degree,Slightly Familiar,Moderately Comfortable,,,,,Curiosity,,3,Confidence,,4,Fear,,5,Hesitation,,4,Both appear equally confident,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Both appear equally fearful,Robot 2,Robot 2,1991,35,1,Robot 2,Robot 2,Both appear equally curious,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Both appear equally hesitant
19/11/2025 6:22,19/11/2025 6:46,100,1454,TRUE,19/11/2025 6:46,R_12FbU2CplvD5dg8,,,,,53.4563,-113.5803,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,27,Other,Latin,Bachelor's degree or equivalent,Very Familiar,Very Comfortable,Careful,Curious,Explorative,Afraid,Confidence,,3,Curiosity,,4,Hesitation,,3,Fear,,5,Robot 1,Robot 1,Robot 2,Both appear equally fearful,Robot 1,Robot 2,Robot 2,Robot 2,1998,28,1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally curious,Robot 1,Robot 2,Robot 2,Robot 1,Robot 2,Both appear equally hesitant,Robot 1
19/11/2025 8:19,19/11/2025 8:23,100,278,TRUE,19/11/2025 8:23,R_7iq7e1fjx9t8Hz7,,,,,33.0032,-96.5434,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,29,Indian,,Master's degree or equivalent,Extremely Familiar,Moderately Comfortable,,,,,Confidence,,4,Hesitation,,4,Fear,,4,Curiosity,,4,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,Robot 2,1996,30,1,Robot 1,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally hesitant,Robot 2,Robot 2,Both appear equally hesitant
19/11/2025 14:12,19/11/2025 14:22,100,617,TRUE,19/11/2025 14:22,R_2JfkmxXckVaIWfm,,,,,48.8558,2.3494,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,29,Eurasian,,Doctorate or professional degree,Moderately Familiar,Moderately Comfortable,direct,confirming,hesitant,observant,Confidence,,4,Curiosity,,4,Hesitation,,5,Curiosity,,2,Robot 1,Robot 1,Robot 1,Robot 1,Robot 1,Robot 2,Both appear equally fearful,Robot 1,1996,30,1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Both appear equally curious,Both appears equally hesitant,Robot 1,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
19/11/2025 14:45,19/11/2025 14:55,100,571,TRUE,19/11/2025 14:55,R_4updVBASzgDqnwl,,,,,12.9753,77.591,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,22,Indian,,Bachelor's degree or equivalent,Not Familiar,Slightly Comfortable,Calm,Curious ,Afraid,Hesitant,Confidence,,4,Curiosity,,5,Fear,,4,Hesitation,,4,Robot 1,Robot 1,Robot 1,Neither appears fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,2003,23,1,Robot 2,Robot 2,Robot 1,Robot 1,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1
19/11/2025 19:26,19/11/2025 19:32,100,342,TRUE,19/11/2025 19:32,R_9jZJQuF2utaw1Dk,,,,,12.9753,77.591,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Bachelor's degree or equivalent,Slightly Familiar,Not Comfortable,Confident,Slow,Confident,Scared,Confidence,,4,Hesitation,,4,Hesitation,,4,Fear,,3,Robot 1,Robot 1,Both appear equally fearful,Neither appears fearful,Robot 1,Robot 2,Robot 2,Robot 2,1995,31,1,Robot 2,Both appear equally curious,Robot 1,Robot 2,Robot 2,Robot 2,Robot 1,Robot 2,Both appear equally hesitant,Robot 2,Robot 1,Robot 1
20/11/2025 5:17,20/11/2025 5:31,100,839,TRUE,20/11/2025 5:31,R_8pVUGs2rT8ZylKT,,,,,51.5564,0.0715,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,34,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,,,,,Confidence,,5,Curiosity,,2,Hesitation,,4,Fear,,5,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1991,35,1,Robot 1,Robot 2,Robot 2,Robot 2,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Both appear equally hesitant
21/11/2025 9:39,21/11/2025 9:49,100,628,TRUE,21/11/2025 9:49,R_1UeXl0xXMzfDrRy,,,,,26.455,-80.1076,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,28,Indian,,Master's degree or equivalent,Moderately Familiar,Moderately Comfortable,Calm,Calm,Uncertain,Cautious,Confidence,,5,Fear,,3,Hesitation,,4,Curiosity,,5,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Both appear equally fearful,1997,29,1,Both appear equally curious,Both appear equally curious,Robot 1,Robot 1,Both appear equally curious,Both appear equally curious,Neither appears hesitant,Robot 1,Robot 2,Robot 2,Robot 1,Both appear equally hesitant
19/11/2025 15:36,21/11/2025 11:04,100,156507,TRUE,21/11/2025 11:04,R_9r3wYI6diiWErGg,,,,,12.9753,77.591,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Female,28,Indian,,Master's degree or equivalent,Slightly Familiar,Slightly Comfortable,,,,,Confidence,,4,Curiosity,,5,Hesitation,,3,Fear,,5,Robot 1,Robot 1,Both appear equally fearful,Both appear equally fearful,Both appear equally fearful,Robot 2,Robot 2,Both appear equally fearful,1995,31,3,Robot 2,Neither appears curious,Robot 1,Robot 1,Robot 2,Robot 2,Robot 1,Robot 1,Both appear equally hesitant,Robot 2,Both appear equally hesitant,Robot 2
20/11/2025 0:39,22/11/2025 14:10,100,221439,TRUE,22/11/2025 14:10,R_9IL8PoVkLU8CL7g,,,,,1.3563,103.7542,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,30,Indian,,Master's degree or equivalent,Very Familiar,Very Comfortable,,,,,Confidence,,4,Curiosity,,3,Hesitation,,4,Fear,,4,Robot 1,Robot 1,Robot 1,Both appear equally fearful,Robot 2,Robot 2,Robot 2,Robot 2,1995,31,1,Both appear equally curious,Robot 2,Both appear equally curious,Robot 1,Robot 1,Robot 2,Robot 1,Robot 1,Robot 1,Robot 2,Robot 1,Both appear equally hesitant
16/11/2025 18:22,16/11/2025 18:23,21,67,FALSE,23/11/2025 18:23,R_95BGG9EeWVADiYs,,,,,1.3652,103.8367,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,37,Indian,,Master's degree or equivalent,Extremely Familiar,Extremely Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025 10:22,19/11/2025 10:24,21,115,FALSE,26/11/2025 10:24,R_4CN6p5gDjuVmlC9,,,,,1.3248,103.8566,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,27,Indian,,Bachelor's degree or equivalent,Extremely Familiar,Extremely Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2025 11:58,19/11/2025 12:00,21,99,FALSE,26/11/2025 12:00,R_7F3vhmklVklPUls,,,,,53.4563,-113.5803,anonymous,EN,,"I have read and understood the above consent form. I certify that I am 18 years old or older and, by clicking the next button to enter the survey, I indicate my willingness to voluntarily take part in the study.",Male,26,Other,Pakistan ,Master's degree or equivalent,Very Familiar,Very Comfortable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
